main_ID,Año,Estado,Municipio,Localidad,Recibidas,Apoyadas,Monto
1,2015,BAJA CALIFORNIA,ENSENADA,ENSENADA,25,7,3.27
2,2015,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,2,0,0
3,2015,CAMPECHE,CAMPECHE,CAMPECHE,22,4,8.57
4,2015,NAYARIT,TEPIC,TEPIC,1,1,0.38
5,2015,OAXACA,SALINA CRUZ,SALINA CRUZ,2,1,0.4
6,2015,QUINTANA ROO,BENITO JUAREZ,CANCUN,1,0,0
7,2015,SINALOA,MAZATLAN,MAZATLAN,65,40,74.59
8,2015,SINALOA,GUASAVE,GUASAVE,1,1,2.13
9,2015,SINALOA,AHOME,TOPOLOBAMPO,18,7,6.67
10,2015,SONORA,GUAYMAS,GUAYMAS,66,31,59.21
11,2015,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,55,20,38.59
12,2015,SONORA,CIUDAD OBREGON,CIUDAD OBREGON,4,2,2
13,2015,TABASCO,VILLA HERMOSA,VILLA HERMOSA,9,9,5.72
14,2015,TAMAULIPAS,TAMPICO,TAMPICO,37,18,22.68
15,2015,VERACRUZ,VERACRUZ,VERACRUZ,19,4,2.95
16,2015,YUCATAN,MERIDA,MERIDA,44,22,28.54
17,2014,BAJA CALIFORNIA,ENSENADA,ENSENADA,16,15,8.12
18,2014,BAJA CALIFORNIA,SAN FELIPE,SAN FELIPE,2,1,1.09
19,2014,BAJA CALIFORNIA SUR,LA PAZ,LA PAZ,,,
20,2014,CAMPECHE,CAMPECHE,CAMPECHE,18,18,7.14
21,2014,CAMPECHE,EL CARMEN,EL CARMEN,2,1,0.18
22,2014,COLIMA,MANZANILLO,MANZANILLO,1,1,0.38
23,2014,NAYARIT,TEPIC,TEPIC,,,
24,2014,OAXACA,SALINA CRUZ,SALINA CRUZ,8,7,3.51
25,2014,QUINTANA ROO,BENITO JUAREZ,CANCUN,1,1,0.77
26,2014,SINALOA,MAZATLAN,MAZATLAN,80,76,102.77
27,2014,SINALOA,GUASAVE,GUASAVE,1,1,1
28,2014,SINALOA,AHOME,TOPOLOBAMPO,24,20,17.74
29,2014,SONORA,GUAYMAS,GUAYMAS,76,51,78.17
30,2014,SONORA,PUERTO PEÑASCO,PUERTO PEÑASCO,51,50,77.5
31,2014,SONORA,HUATABAMPO,HUATABAMPO,5,4,4.75
32,2014,TABASCO,VILLA HERMOSA,VILLA HERMOSA,0,,
33,2014,TAMAULIPAS,TAMPICO,TAMPICO,31,30,29.09
34,2014,VERACRUZ,ALVARADO,ALVARADO,13,13,10.76
35,2014,VERACRUZ,TUXPAN,TUXPAN,4,4,11.38
36,2014,VERACRUZ,VERACRUZ,VERACRUZ,2,,
37,2014,YUCATAN,PROGRESO,PROGRESO,40,15,13.53
